sat_path,svi_path,severity
/content/sat2street_data/images/002955_sat.png,/content/sat2street_data/images/002955_svi.png,2_SevereDamage
/content/sat2street_data/images/001536_sat.png,/content/sat2street_data/images/001536_svi.png,1_ModerateDamage
/content/sat2street_data/images/002351_sat.png,/content/sat2street_data/images/002351_svi.png,1_ModerateDamage
/content/sat2street_data/images/003763_sat.png,/content/sat2street_data/images/003763_svi.png,2_SevereDamage
/content/sat2street_data/images/003275_sat.png,/content/sat2street_data/images/003275_svi.png,2_SevereDamage
/content/sat2street_data/images/001201_sat.png,/content/sat2street_data/images/001201_svi.png,0_MinorDamage
/content/sat2street_data/images/003344_sat.png,/content/sat2street_data/images/003344_svi.png,2_SevereDamage
/content/sat2street_data/images/003462_sat.png,/content/sat2street_data/images/003462_svi.png,2_SevereDamage
/content/sat2street_data/images/002694_sat.png,/content/sat2street_data/images/002694_svi.png,1_ModerateDamage
/content/sat2street_data/images/003129_sat.png,/content/sat2street_data/images/003129_svi.png,2_SevereDamage
/content/sat2street_data/images/002159_sat.png,/content/sat2street_data/images/002159_svi.png,1_ModerateDamage
/content/sat2street_data/images/002180_sat.png,/content/sat2street_data/images/002180_svi.png,1_ModerateDamage
/content/sat2street_data/images/001548_sat.png,/content/sat2street_data/images/001548_svi.png,1_ModerateDamage
/content/sat2street_data/images/001194_sat.png,/content/sat2street_data/images/001194_svi.png,0_MinorDamage
/content/sat2street_data/images/000323_sat.png,/content/sat2street_data/images/000323_svi.png,0_MinorDamage
/content/sat2street_data/images/002831_sat.png,/content/sat2street_data/images/002831_svi.png,1_ModerateDamage
/content/sat2street_data/images/000807_sat.png,/content/sat2street_data/images/000807_svi.png,0_MinorDamage
/content/sat2street_data/images/000196_sat.png,/content/sat2street_data/images/000196_svi.png,0_MinorDamage
/content/sat2street_data/images/000235_sat.png,/content/sat2street_data/images/000235_svi.png,0_MinorDamage
/content/sat2street_data/images/002097_sat.png,/content/sat2street_data/images/002097_svi.png,1_ModerateDamage
/content/sat2street_data/images/003606_sat.png,/content/sat2street_data/images/003606_svi.png,2_SevereDamage
/content/sat2street_data/images/001192_sat.png,/content/sat2street_data/images/001192_svi.png,0_MinorDamage
